Name         |UserName          |Gender  |Year |Grade |Hash
Ashleigh     |abourhilljk       |Female  |1    |7.01  |fb146ec913d570bb93959dc1804e3c0bca956a35348108e2fe02f3d4892c7f55
Levey        |lhanks8d          |Male    |1    |7.02  |48f088210b954a7055acc155d2d6ec03bbf8e2b2d38e76d276228fe16d15049c
Olimpia      |ocroftd4          |Female  |1    |7.03  |aba10d9af1d21f1fe26c9eac95b669d5d853a3a09cb7ea034835aef11e504a30
Vance        |vstrippelbo       |Male    |1    |7.03  |0f34cb70e8a254301a2733f2b7421e6c1a6a5bbc619bd0c9fe3348fa344279d7
Cynthea      |cskeat8f          |Female  |1    |7.03  |002673246511a44de721ab7c7d49e5f61b9ed757b9ce30d3e6e112d11b1994ac
Felice       |fyurshevnd        |Male    |1    |7.04  |fdd068e96fa438c8d4284cd8ca4d8632385f57f822115f0ce943f3dc9f86f6c3
Rose         |rchaudronme       |Female  |1    |7.05  |53cf80dd1125fef4fe30d3449f4e310a9b3540d7344e37e8bddc1480440fa067
Anett        |adibdin2m         |Female  |1    |7.05  |9f56c3f64d59c4e38700eaa6f6b8d3345cf5645db78e48f12931ea2415351f54
Delilah      |dportern0         |Female  |1    |7.06  |e5189642f1ac6b2b9996f09731fc6e2f4fa13324039f960b8e385fccb1f90776
Donal        |dkulas2d          |Male    |1    |7.07  |91aff9e664f3273af160785225bb1e8e83432e8cca1830cf3391d6ab79e7fba2
Hunfredo     |hhasselby81       |Male    |1    |7.08  |8bc9e123be9e0460a588201b8f8c99a57cf84855becfe53b62be196b1b5f5551
Yul          |yshurvillel5      |Male    |1    |7.09  |f3ca418c6ff8b3f425546201470755c81f1e3a84719ca226559950cad9f35c44
Chickie      |cfaithfullrj      |Male    |1    |7.1   |a8a3cc2eba8c38368a9cb4bb9933ba7e408c6b84d199bd49e0a7aa91be4d371b
Jonathan     |jovid9p           |Male    |1    |7.1   |3b72fee42538a89269869ef3de19cc7a0e10e30dd2d67e7be3502581b33233c8
Francine     |fkaesmansrn       |Female  |1    |7.13  |53e07fa960935aade396951b4cec7c5fb6d3fd32b61cca40222c87d006b07927
Caldwell     |cfalconerbm       |Male    |1    |7.13  |5ea9c23c8d9a545ae7d2dffe05e0f6bf3c7e2657c8c4c2146047f974e0ffe4ae
Cody         |chaskaynekc       |Female  |1    |7.14  |71138b11e2a308df3e00f0c1a164e86fc07573e83852fe569720fb4d0846625e
Zaccaria     |znovellonp        |Male    |1    |7.14  |3a18797ee471759d5922dbb91c9f1269290cda8e0b070888ab150ef7d9ed0725
Ely          |eyurivtsev6q      |Male    |1    |7.15  |ee2fb4c1a2215e29e2245abcbd9b580c4a5546bbc4c2b0c67d99bbb083b5ba01
Lizzy        |ltrevinoq0        |Female  |1    |7.16  |d8451711026858fce1bbcc60bb96d021e4a8d253c6b23e43aa603f387137c1d4
Crystie      |ccotterellql      |Female  |1    |7.16  |40ea0058a511c98d54e49247b6661beabb7a04ca5f8c33782090f9f05d3bb80b
Gussie       |gkleinholzi4      |Female  |1    |7.17  |024d61817f9c3d556dfb4086f5f467afded24d6ec0321e39d0e8303d2fd664d0
Dugald       |dleadesct         |Male    |1    |7.17  |4e49fcf00c302b3dbc22e973d317ed719f0f8ccc49e30f535ed2bde24ce636cf
Vin          |vsimpoleih        |Male    |1    |7.19  |3c47f34a7253e03a1a7b4e1c604b0a26825ae3f7c864db3a4140e3a3deb1987f
Esmaria      |eoughz            |Female  |1    |7.19  |0a36ccc7a6c3b4fb4f551f7db51dfb2e3cf6884e24d3c8953285514120e9131c
Benni        |btanslie59        |Female  |1    |7.21  |1740b8a1f74172172b945042d96e091960cda6f528fcf8c7f5b25e6c15b27947
Kirk         |koxenham1b        |Male    |1    |7.23  |1f202422792dd63cf77794731c5cf17ba414e1e9b3338e73af2aa049fc97574b
Ernestus     |ebidewellv        |Male    |1    |7.24  |dee93abb031baa6cdf3ab170d30ad7512f53e1d48bf55b6c2bcbfac3573d81dd
Judon        |jphilps2u         |Male    |1    |7.24  |09507ea22ba9a1b763dc7a326fcdef59fe74fdd6beb14db31f40d936e1d4b16b
Hally        |hpetzoltbz        |Female  |1    |7.26  |d5b67265ccae91f7b0191ef5a210fd69df2c9d094fcdd5fa6e3e9b59fb01f427
Howey        |higlesia3n        |Male    |1    |7.26  |7a05354180b4ccc78cc7c9e3c89b666d62083f3f21a041f44d7fe03c2744667d
Gertruda     |glexa1e           |Female  |1    |7.26  |dcc31108191e362a89d5b2a1dcc685e8796e34b1bbc4e0d05738065abba488e6
Burgess      |bdickei5          |Male    |1    |7.28  |e5b8258b9f93b9d8631f7431fa8bcbddc0417f742e1779d5d32b36c849b5263b
Renae        |rboonrp           |Female  |1    |7.29  |30c3099a73719e2abd082d52830d18d30d248b0622e3abb77a3bb58774463581
Jaquenetta   |jhattamf1         |Female  |1    |7.32  |b7ee89aca99e918fd65a3d1d655605b2ada0e624bc56290c4aae20ce34c85d0e
Marmaduke    |meveleighgy       |Male    |1    |7.34  |6fcedb8c4eb07d48026af6b64c6046daff245bcdc109868c054e6584d7b0ae4b
Amie         |amertschingax     |Female  |1    |7.35  |243dc3daef22199ae4fd9bb44af491615b3551cd6238bfa4f154d0b5f5a9424e
Edwina       |etolemanal        |Female  |1    |7.35  |df78187b259c5681992a4f1ef5591d80fc7379eb974af1b40cb208b7cad03128
Danette      |dwarmingtono6     |Female  |1    |7.37  |31ca440b2d6a0379e962f140266586f4058df952f9e3922d803502104ff93c9f
Joelly       |jgrishakovd5      |Female  |1    |7.39  |cec64c6e7000d51dbd57246b9416e551ace2c105c1172ec55a4cf2ba0b302e43
Beverley     |bmacksteadey      |Female  |1    |7.41  |d57716002221ab3762f994f9e0393c571e6d35bc6268ae1f27127f2e90df83f6
Merilee      |mbassilfm         |Female  |1    |7.42  |86bdcf60964944d976d5ffadd356b397c8e55f196fabadebfbdd57331cb71574
Rickey       |rwoodwinfw        |Male    |1    |7.46  |4742c00c074dff3803199b68edb371b4202cf3a32c68acf7578f473fa641cbfe
Kincaid      |kcatleydd         |Male    |1    |7.48  |da2788626a27445f80a42cadacf4ffe3c5d362c5a2fbad175727f8067c371eb1
Gamaliel     |gpiotr7o          |Male    |1    |7.48  |6d6ec6ae8ff63ae189b14eacbd6907148402174680467205e492a7ed755ab715
Darrin       |dgoodhall66       |Male    |1    |7.48  |822b87ece1ecab551380e50b571da9cebe7f04fdff517fab12ea475e9625ac08
Easter       |etrenaman18       |Female  |1    |7.5   |0684da78589629e0ca27a0f28deadeaa866bad7406e35f7f722a7d7f61a28d95
Neal         |nropckem3         |Male    |1    |7.51  |e8b175be1f7067ed216295a682856ad44a24306645c79c6277e1bce86f8b5833
Seana        |sbramhamlb        |Female  |1    |7.53  |a5a4eb0a6a04b712054a2104072b3bfbb620b7242868f6fedc5d2c0fef4fb5c9
Gabey        |ggilffillandfv    |Female  |1    |7.54  |164a3bfe9955f3bc3a2996194f8b142c31181466b76e7e29886d0922148bd61c
Moses        |mpaoloniav        |Male    |1    |7.54  |566ffa11ea7296a425c01136613fae2fec1e52fc06e80ab7b1687374ef3dd7f6
Griffie      |gpauleau6d        |Male    |1    |7.56  |82ecff10ae59b67a33099dba80fd7a8e3502694e233e28a686d6e40b9c9a38d7
Jyoti        |jfrancklyn9s      |Female  |1    |7.57  |19f070ee4334464825019251ef0c60eb3f4646ac6206a00ad44c6b40080715d5
Myca         |mpadgettlj        |Male    |1    |7.59  |03cce42bdbcda987d8cc47d9b8fae90b587950b403396fc7a21ecd199f784383
Britni       |bbeardsleyh5      |Female  |1    |7.6   |6e8fe62a70ceedcadfb5b6ef7edae74d00b6f530248e81d22bdab3a0fc03a67e
Renaud       |rcuolahanju       |Male    |1    |7.61  |75e599c1a373208b70c1c22de12a6136c96fc8d8a21c3526fc695d639af049f3
Sinclare     |scissell54        |Male    |1    |7.61  |438502c30183a2d6e05f88e92fd240d56cea6b4213a0a0474e81e187648c3eae
Yank         |yschimonek4e      |Male    |1    |7.63  |bf45257259fb969252fe4a19c01b1309665ab1f49003005f8ebac03b49aefcf4
Laverna      |lsterlingel       |Female  |1    |7.64  |bc615b203bc477ad42959836af83d76dc1aaa707e84f0c3e320401715620a0cd
Caritta      |cengland79        |Female  |1    |7.64  |97cd23a2ef1b9ee73013c305b84ec76ccfad326cac0d227fc69d656eb3639e0b
Archie       |atoyneis          |Male    |1    |7.67  |05cdcd337804a87ee840ca69bebba645b0e1e7c080aaf827fc43c775f4e1ea49
Forrester    |fvidyapino3       |Male    |1    |7.67  |5bd723ba174403f3c214cb65b9d05d7beb7e025bb4fb96f1015c49c358ed0a41
Joceline     |jvasishchevou     |Female  |1    |7.73  |11a9464025afa7015ca91b6f7fde827d2814955ada2eaec247ec5c08684347b1
Amelina      |apaliakp          |Female  |1    |7.75  |800cd101f0378644b266da4cc98680bf06866334ba9afaf8b9bf06c4fcc2a7e1
Kristal      |kmckiece          |Female  |1    |7.76  |497c23cef1d1e6f9021c126c9178f92ae310adb513d7abcff4a42979cff90506
Lou          |lhasson9          |Female  |1    |7.77  |dbeb03c957f516edec15f0b34e4b00a19f90c1d11daf5549230b01e8264432b8
Magdalen     |mschultheissnm    |Female  |1    |7.78  |7d173f728761be80654e8b33e539fb0409be42803dcdb2076ac0c7a3bb656921
Stacey       |sstetsonq6        |Female  |1    |7.81  |b2e62c74f2b928a2109c4997b96f494522d730f3b75c6f7b50377006438ab5b9
Lion         |lchiezefn         |Male    |1    |7.83  |6da1cef5d0ff1eb159ac0ac2efa18ef17a6985cf9857c0c192db31989b8e33cd
Kalie        |khasemanlc        |Female  |1    |7.85  |9f3172cf8d42758a14e28ad5be4272a65e8177a69fdb33609655c45198eacb5a
Cletis       |chebblewhiteet    |Male    |1    |7.88  |044d606260872c410a2f0ababd1b82ede775c2ea6327bca8b6f930a1d078e06f
Pennie       |pclercdv          |Female  |1    |7.9   |8a96476b31a4c73f67818fc0d91ac5a41e1affeec5cbef6493ef4546622344ba
Gearard      |gjewel1c          |Male    |1    |7.9   |5025b69cb9cffd4efb91b0d4e05115b692d479919dfc794b14ad96f7ebf6b71f
Joan         |jpilmore46        |Female  |1    |7.93  |45d7586415f99e76fe38e6270150b5af9823a37df4653c420a171326824a4ed1
Sissie       |scakebread3m      |Female  |1    |7.96  |d92eabb5fcb4ce318ca05175cff262aced9ea2b12587220951b6b025624f026a
Erin         |esnoddin1l        |Male    |1    |7.96  |f905bc5fc0730bba5ec7dfebd180f52831fc9d8b37df56174a1b333eb04095ec
Westleigh    |warnow12          |Male    |1    |7.97  |8f869876ea3de277a981355d28e5cf77b9594179b8523bae7a2700cbbbd0b600
Willi        |wwasielewskif9    |Male    |1    |8.01  |d9682ff9d0039f17d7b0f144f600c458f0fb640dd36272935c2236457f8d3628
Del          |dfilinkovcq       |Female  |1    |8.04  |b09fd6338c332610a1adc6af2275baf872c2a3e71badffb46601450eca50ed4c
Atalanta     |afarherty6g       |Female  |1    |8.04  |5dfc0b3e201251c082cf338316c886c5d85a058dd4693602dbe1033c07d9b858
Sanford      |srousgq           |Male    |1    |8.05  |6bd78025ca06412a2e9536eefadc3e3f5d88e0e1ea2a7d694d85542d67f99ad3
Ellynn       |ehartfield22      |Female  |1    |8.07  |393e67ffad7b8ed8399c5946d8e02d7c8e11aef58fefce636bd34a926d441998
Sherill      |sfulkow           |Female  |1    |8.08  |85d83685aa71ec604fe144d4db68cb1b12f679b0e0a905158e71ff32dd38d10a
Lucretia     |lgonzalez6f       |Female  |1    |8.08  |07e081f69bf913c01a5aa1d1767c059d8932aeba0c42d4d5dc20d06b8a3ce8ab
Carilyn      |cmorris5r         |Female  |1    |8.1   |c2bdf685d71b95db467d39ad6f0fe8fa330a4c9858a695bdc835e203dea1a2ec
Noam         |nscocrofta        |Male    |1    |8.1   |a9798e2964e54aa06f3ea110a3cb65384783f148c404ea23bb8314f8ce887f25
Sophia       |svoyceex          |Female  |1    |8.13  |5bb532d83af55969e85c32c27b60a168fcfc803bed1afe3c8100f401c47dff84
Hercules     |hkeeltaghp4       |Male    |1    |8.14  |0abb1f4eae760de877d9cd0598b819d9b233b3da142700197ae101b192bacfe6
Camila       |cargilen3         |Female  |1    |8.15  |900764733fdb9fc8e8930ce2e81bad7253c5892c1cc7464bde481bddb367c892
Hansiain     |hmatushevitzq2    |Male    |1    |8.15  |977d76eaea1320599f101792386f6c00e6262e554022f08483b14492f7c8a754
Lindsay      |ldobrowolskie6    |Male    |1    |8.16  |dde0ee85e2cd42a9ef68fe78b2a04b8df3361961df6874373e45bad4e7ff23bc
Duncan       |dbickmorefp       |Male    |1    |8.16  |5515028e0df7783ed0ef58e63ecf297e8c082c584a9c4f17ac7c3990593b3212
Winthrop     |wsilverwoodp0     |Male    |1    |8.16  |601b7bade95cc6a4fcb938125c4e5cadce7a68d77af1917d7b7a0ec87ec69411
Normy        |nsampsone4        |Male    |1    |8.18  |e9af92d1e204e5535bb0fd21caf15654468372d22af38e33f7b1242914490fb6
Robbie       |rburridgek6       |Female  |1    |8.19  |b36ccb7887a27acdf2a4143b384663daf8e4f0aeeb159d5075604f60d533f40a
Brynne       |bbalazin8s        |Female  |1    |8.19  |96d1b20d648769c27a0438e6f2b741bea0d08875d42c890164045fce5bb66f25
Tuck         |tcastellsip       |Male    |1    |8.21  |147755a1943533510811a290defcc7ff6f78347d877760b06754535bc20b1d05
Arlette      |aodhams6h         |Female  |1    |8.22  |53ea9476162f35a8954ab25aa24ce2437583de6a659308bf9dfa71d43980e3a3
Brennan      |bhazlegroverq     |Male    |1    |8.27  |68edef28d276a2e407affe7c420ba6c7c76a62e50d35efc80e83a0b42f24a06b
Sari         |sbyhamkb          |Female  |1    |8.29  |409b7e8d0e7db0f81c6891c4543fc9c73ebb07b1f81c57031486a50bc2251251
Suzy         |sdonativoc2       |Female  |1    |8.36  |f4078b9a4a2b394ab959b235b7b81a47411391d7ad42e237870fe76674008460
Ario         |atournieib        |Male    |1    |8.37  |c5569bd85859afe10f030eb2483b38fbdb7a50fb8624f91831ea15ce2e926f25
Dorie        |dwedgwood9j       |Female  |1    |8.37  |e5b51941cbbf4e8b082e26b1859946fdb48eaa5ede40ed7d5feb8f2899715bcc
Caddric      |ctick27           |Male    |1    |8.37  |75ef721f532c6a7d82c99bd3a4def969ca5db52a7e9da69b1c34e9c6627d65f2
Robin        |rmillmore7w       |Female  |1    |8.39  |1f1740d646c77d54b3540c64203290e166ecd22a4778df4c9f32524384792860
Cletis       |ctutill2e         |Male    |1    |8.39  |70536d17a529a3ae03c4cfa1a53738ca7c52d8f37fe4f0694cefa8dd2e255753
Pinchas      |pstrangeroj       |Male    |1    |8.4   |647c689c13279fd28482335d41d0e81f9f11dfcca7ae6344dfad8323aaa79fa0
Dorisa       |dgoddardnn        |Female  |1    |8.45  |7116636f63bf007c4156d6bd00276938b96bf4beb6c56aa4a6b4fce5f376c218
